onet_soc_code,canonical_title,description,matched_target_families,top_knowledge,top_technology_examples
51-8092.00,Gas Plant Operators,Distribute or process gas for utility companies and others by controlling compressors to maintain specified pressures on main pipelines.,,computers and electronics (3.40) | mathematics (3.17) | engineering and technology (3.14) | telecommunications (2.67),google android | microsoft excel | sap software | aspentech hysys | operating log software | quorum pgas | supervisory control and data acquisition scada software | work scheduling software
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers","Operate or control petroleum refining or processing units. May specialize in controlling manifold and pumping systems, gauging or testing oil in storage tanks, or regulating the flow of oil into pipelines.",,mathematics (3.22) | computers and electronics (2.99) | engineering and technology (2.61) | telecommunications (2.04),microsoft excel | email software | inventory tracking software | programmable logic controller plc software | supervisory control and data acquisition scada software
51-8099.00,"Plant and System Operators, All Other",All plant and system operators not listed separately.,,,
51-8099.01,Biofuels Processing Technicians,"Calculate, measure, load, mix, and process refined feedstock with additives in fermentation or reaction process vessels and monitor production process. Perform, and keep records of, plant maintenance, repairs, and safety inspections.",data_science,computers and electronics (3.18) | engineering and technology (2.78) | mathematics (2.78) | telecommunications (2.17),microsoft excel | python | r | sas | tableau | computerized maintenance management system cmms | data visualization software | digital control systems dcs | enterprise resource planning erp software | human machine interface hmi software | inventory control software
51-9011.00,Chemical Equipment Operators and Tenders,"Operate or tend equipment to control chemical changes or reactions in the processing of industrial or consumer products. Equipment used includes devulcanizers, steam-jacketed kettles, and reactor vessels.",,computers and electronics (3.69) | mathematics (3.47) | engineering and technology (3.13) | telecommunications (2.37),microsoft excel | sap software | ibm notes | operational databases
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","Set up, operate, or tend continuous flow or vat-type equipment; filter presses; shaker screens; centrifuges; condenser tubes; precipitating, fermenting, or evaporating tanks; scrubbing towers; or batch stills. These machines extract, sort, or separate liquids, gases, or solids from other materials to recover a refined product. Includes dairy processing equipment operators.",,mathematics (2.80) | computers and electronics (2.56) | engineering and technology (2.46) | telecommunications (1.96),microsoft excel | sap software | email software | spreadsheet software | word processing software
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","Set up, operate, or tend machines to crush, grind, or polish materials, such as coal, glass, grain, stone, food, or rubber.",,mathematics (2.97) | computers and electronics (2.50) | engineering and technology (2.04) | telecommunications (1.27),microsoft excel | sap software | email software | spreadsheet software | word processing software
51-9022.00,"Grinding and Polishing Workers, Hand","Grind, sand, or polish, using hand tools or hand-held power tools, a variety of metal, wood, stone, clay, plastic, or glass objects. Includes chippers, buffers, and finishers.",,mathematics (2.76) | engineering and technology (2.49) | computers and electronics (2.30) | telecommunications (1.72),microsoft excel
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders","Set up, operate, or tend machines to mix or blend materials, such as chemicals, tobacco, liquids, color pigments, or explosive ingredients.",,mathematics (2.63) | engineering and technology (1.87) | computers and electronics (1.86) | telecommunications (1.37),microsoft excel | microsoft windows | sap software | email software | enterprise resource planning erp software | operational databases | spreadsheet software | word processing software
51-9031.00,"Cutters and Trimmers, Hand","Use hand tools or hand-held power tools to cut and trim a variety of manufactured items, such as carpet, fabric, stone, glass, or rubber.",,mathematics (2.42) | computers and electronics (1.95) | engineering and technology (1.39) | telecommunications (1.23),microsoft excel
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders","Set up, operate, or tend machines that cut or slice materials, such as glass, stone, cork, rubber, tobacco, food, paper, or insulating material.",,mathematics (3.21) | computers and electronics (2.36) | engineering and technology (2.08) | telecommunications (1.32),microsoft excel | sap software
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","Set up, operate, or tend machines, such as glass-forming machines, plodder machines, and tuber machines, to shape and form products such as glassware, food, rubber, soap, brick, tile, clay, wax, tobacco, or cosmetics.",,computers and electronics (3.13) | mathematics (2.92) | engineering and technology (2.85) | telecommunications (2.08),microsoft excel | sap software | enterprise resource planning erp software | operational databases | production scheduling software
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Operate or tend heating equipment other than basic metal, plastic, or food processing equipment. Includes activities such as annealing glass, drying lumber, curing rubber, removing moisture from materials, or boiling soap.",,computers and electronics (2.97) | mathematics (2.68) | telecommunications (2.29) | engineering and technology (2.16),microsoft excel | inventory tracking software | machine operation software
