onet_soc_code,canonical_title,description,matched_target_families,top_knowledge,top_technology_examples
17-2041.00,Chemical Engineers,"Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering.",,engineering and technology (4.78) | mathematics (4.26) | computers and electronics (3.17) | telecommunications (1.65),autodesk autocad | microsoft excel | c | c++ | dassault systemes solidworks | microsoft access | microsoft project | microsoft visio | microsoft visual basic | r | sap software | structured query language sql | the mathworks matlab | absorption process simulation software | applied flow technology aft arrow
17-2051.00,Civil Engineers,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems.",,engineering and technology (4.67) | mathematics (4.48) | computers and electronics (3.14) | telecommunications (1.52),autodesk autocad | autodesk autocad civil 3d | autodesk revit | bentley microstation | microsoft excel | adobe acrobat | apache subversion svn | c | dassault systemes solidworks | esri arcgis software | extensible markup language xml | microsoft access | microsoft project | microsoft visual basic | oracle primavera enterprise project portfolio management
17-2051.01,Transportation Engineers,"Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow.",,engineering and technology (4.90) | mathematics (4.18) | computers and electronics (3.45) | telecommunications (2.05),autodesk autocad | autodesk autocad civil 3d | bentley microstation | microsoft excel | esri arcgis software | microsoft project | oracle primavera enterprise project portfolio management | python | structured query language sql | cubic synchro studio | openroads designer | ptv vissim | autodesk land desktop | bentley geopak civil engineering suite | bentley inroads suite
17-2051.02,Water/Wastewater Engineers,"Design or oversee projects involving provision of potable water, disposal of wastewater and sewage, or prevention of flood-related damage. Prepare environmental documentation for water resources, regulatory program compliance, data management and analysis, and field work. Perform hydraulic modeling and pipeline design.",,engineering and technology (4.70) | mathematics (4.22) | computers and electronics (3.14) | telecommunications (1.87),autodesk autocad | autodesk autocad civil 3d | bentley microstation | esri arcgis software | microsoft excel | autodesk revit | bash | microsoft access | microsoft project | mozilla firefox | oracle java | python | sap software | structured query language sql | hec-hms
17-2061.00,Computer Hardware Engineers,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components.",,computers and electronics (4.71) | engineering and technology (4.66) | mathematics (4.14) | telecommunications (3.10),c | c++ | linux | perl | python | the mathworks matlab | apache subversion svn | autodesk autocad | git | microsoft access | microsoft excel | microsoft visio | microsoft visual basic | oracle java | sas
17-2071.00,Electrical Engineers,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use.",,engineering and technology (4.74) | computers and electronics (4.67) | mathematics (3.72) | telecommunications (2.61),autodesk autocad | autodesk revit | c | c++ | microsoft excel | python | the mathworks matlab | apache subversion svn | autodesk autocad civil 3d | bash | bentley microstation | c# | dassault systemes solidworks | eclipse ide | esri arcgis software
17-2072.00,"Electronics Engineers, Except Computer","Research, design, develop, or test electronic components and systems for commercial, industrial, military, or scientific use employing knowledge of electronic theory and materials properties. Design electronic circuits and components for use in fields such as telecommunications, aerospace guidance and propulsion control, acoustics, or instruments and controls.",,engineering and technology (4.75) | computers and electronics (4.55) | mathematics (4.04) | telecommunications (2.51),microsoft excel | the mathworks matlab | apache subversion svn | autodesk autocad | c | c++ | dassault systemes solidworks | esri arcgis software | extensible markup language xml | linux | oracle database | oracle java | python | structured query language sql | trimble sketchup pro
17-2072.01,Radio Frequency Identification Device Specialists,Design and implement radio frequency identification device (RFID) systems used to track shipments or goods.,,computers and electronics (4.80) | engineering and technology (4.56) | mathematics (3.53) | telecommunications (3.38),c | c++ | microsoft excel | python | the mathworks matlab | c# | dassault systemes solidworks | esri arcgis software | extensible markup language xml | junit | linux | microsoft project | microsoft sql server | microsoft visio | microsoft visual basic
17-2081.00,Environmental Engineers,"Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines. Work may include waste treatment, site remediation, or pollution control technology.",,engineering and technology (4.95) | mathematics (4.00) | computers and electronics (3.60) | telecommunications (2.38),autodesk autocad | microsoft excel | autodesk autocad civil 3d | bentley microstation | c++ | esri arcgis software | microsoft access | microsoft project | python | sas | the mathworks matlab | business software applications | air dispersion modeling software | ansys simulation software | computer aided design and drafting software cadd
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers.",,engineering and technology (3.84) | mathematics (3.46) | computers and electronics (3.02) | telecommunications (2.29),autodesk autocad | microsoft excel | c++ | eclipse ide | linux | microsoft access | microsoft active server pages asp | microsoft project | microsoft sharepoint | microsoft visio | microsoft visual basic | python | sap software | the mathworks matlab | anthropometric databases
17-2111.02,Fire-Prevention and Protection Engineers,"Research causes of fires, determine fire protection methods, and design or recommend materials or equipment such as structural components or fire-detection equipment to assist organizations in safeguarding life and property against fire, explosion, and related hazards.",,engineering and technology (4.88) | mathematics (4.15) | computers and electronics (3.42) | telecommunications (2.35),autodesk autocad | autodesk revit | bentley microstation | microsoft excel | microsoft project | microsoft visio | microsoft windows | a large outdoor fire plume trajectory model flat terrain aloft-ft | analysis of smoke control systems ascos | ansys simulation software | atria smoke management engineering tools asmet | available safe egress time aset | berkeley algorithm for breaking window glass in a compartment fire break1 | building research establishment bre jasmine | cesare risk
17-2112.00,Industrial Engineers,"Design, develop, test, and evaluate integrated systems for managing industrial production processes, including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination.",,engineering and technology (4.41) | mathematics (3.89) | computers and electronics (3.77) | telecommunications (2.16),autodesk autocad | microsoft excel | sap software | structured query language sql | bentley microstation | c++ | dassault systemes solidworks | extensible markup language xml | github | junit | linux | microsoft access | microsoft project | microsoft sharepoint | microsoft sql server
17-2112.01,Human Factors Engineers and Ergonomists,"Design objects, facilities, and environments to optimize human well-being and overall system performance, applying theory, principles, and data regarding the relationship between humans and respective technology. Investigate and analyze characteristics of human behavior and performance as it relates to the use of technology.",,engineering and technology (3.80) | mathematics (3.55) | computers and electronics (3.00) | telecommunications (2.10),microsoft excel | adobe acrobat | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | ajax | apple safari | atlassian jira | autodesk autocad | c++ | cascading style sheets css | dassault systemes solidworks | extensible markup language xml | hypertext markup language html
17-2112.02,Validation Engineers,"Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements.",,engineering and technology (4.26) | mathematics (3.65) | computers and electronics (3.15) | telecommunications (2.16),amazon web services aws software | docker | kubernetes | linux | microsoft azure software | microsoft excel | microsoft power bi | oracle java | python | structured query language sql | amazon dynamodb | amazon elastic compute cloud ec2 | amazon web services aws cloudformation | ansible software | apache cassandra
17-2112.03,Manufacturing Engineers,"Design, integrate, or improve manufacturing systems or related processes. May work with commercial or industrial designers to refine product designs to increase producibility and decrease costs.",,engineering and technology (4.42) | mathematics (3.96) | computers and electronics (3.81) | telecommunications (2.04),autodesk autocad | dassault systemes solidworks | microsoft excel | c | microsoft access | microsoft project | microsoft sharepoint | microsoft visio | microsoft visual basic | r | sap software | the mathworks matlab | cnc mastercam | computer aided manufacturing cam software | computer numerical control cnc software
17-2121.00,Marine Engineers and Naval Architects,"Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems.",,engineering and technology (4.32) | mathematics (3.58) | computers and electronics (3.53) | telecommunications (2.11),autodesk autocad | microsoft excel | adobe acrobat | dassault systemes solidworks | microsoft access | microsoft project | sap software | the mathworks matlab | zoom | mcneel rhinoceros 3d | aerohydro multisurf | ansys aqwa | ansys asas | ansys fluent | autodesk algor simulation
17-2131.00,Materials Engineers,"Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials. Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers.",,engineering and technology (4.29) | mathematics (4.10) | computers and electronics (3.38) | telecommunications (1.65),microsoft excel | autodesk autocad | c++ | dassault systemes solidworks | microsoft access | microsoft sharepoint | microsoft visio | microsoft visual basic | oracle database | python | sap software | the mathworks matlab | ansys multiphysics | computer aided design cad software | dassault systemes catia
17-2141.00,Mechanical Engineers,"Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems.",,engineering and technology (4.46) | mathematics (3.88) | computers and electronics (3.63) | telecommunications (2.30),autodesk autocad | autodesk revit | dassault systemes solidworks | microsoft excel | python | adobe illustrator | autodesk autocad civil 3d | bentley microstation | c | c++ | chef | esri arcgis software | microsoft access | microsoft project | microsoft sharepoint
